X,Y,DataZone,OBJECTID,Name,TotPop2011,ResPop2011,HHCnt2011,Easting,Northing,SIMD2020v2_Rank,deciles
-4.66767682449167,55.623958768163,S01011218,"4713",Irvine Castlepark South - 02,"700","696","282","232125","639938",650,"1"
-4.66276168498216,55.625971221473,S01011219,"4714",Irvine Castlepark South - 03,"782","782","352","232443","640150",655,"1"
-4.65869615488094,55.6271650624758,S01011220,"4715",Irvine Castlepark South - 04,"889","889","425","232704","640273",661,"1"
-4.66409577151298,55.6217535513179,S01011225,"4720",Irvine Central - 01,"697","697","327","232341","639684",348,"1"
-4.66978422438626,55.6166410994197,S01011227,"4722",Irvine Central - 03,"709","709","397","231961","639129",338,"1"
-4.66016896592556,55.6118615209549,S01011229,"4724",Irvine Fullarton - 01,"535","510","286","232546","638574",414,"1"
-4.66459226149865,55.6084755984982,S01011230,"4725",Irvine Fullarton - 02,"980","886","500","232253","638208",82,"1"
-4.66889533214168,55.6089392496723,S01011231,"4726",Irvine Fullarton - 03,"604","604","298","231984","638270",331,"1"
-4.67802315836144,55.6095940493745,S01011232,"4727",Irvine Fullarton - 04,"915","874","513","231412","638365",254,"1"
-4.7446753786336,55.6314545126458,S01011234,"4729",Stevenston Ardeer - 02,"1031","1031","456","227311","640961",537,"1"
-4.74973591449149,55.6336063024896,S01011235,"4730",Stevenston Ardeer - 03,"384","384","195","227002","641213",198,"1"
-4.78039683586073,55.63866767747,S01011238,"4733",Saltcoats Central - 02,"644","644","334","225095","641853",225,"1"
-4.77951163364098,55.6355955547456,S01011239,"4734",Saltcoats Central - 03,"717","689","427","225137","641509",250,"1"
-4.78650325669821,55.6358143715079,S01011240,"4735",Saltcoats Central - 04,"690","684","481","224698","641551",23,"1"
-4.81343301559491,55.6412758757252,S01011243,"4738",Ardrossan Central - 02,"881","862","545","223028","642227",71,"1"
-4.80869478849253,55.6445756277027,S01011244,"4739",Ardrossan Central - 03,"666","666","409","223341","642582",127,"1"
-4.80364816186087,55.6482417882681,S01011245,"4740",Ardrossan Central - 04,"848","846","446","223675","642977",383,"1"
-4.80109162714832,55.6542868464197,S01011252,"4747",Ardrossan North East - 03,"825","825","344","223863","643643",598,"1"
-4.75856955437607,55.6381090152594,S01011270,"4765",Stevenston North West - 04,"680","680","349","226466","641736",550,"1"
-4.75287796232351,55.6428302079889,S01011272,"4767",Stevenston Hayocks - 01,"728","728","380","226845","642247",451,"1"
-4.70024399810076,55.6468319699956,S01011292,"4787",Kilwinning West and Blacklands - 04,"697","692","332","230174","642562",433,"1"
-4.70289842112392,55.6530565631532,S01011294,"4789",Kilwinning Central and North - 01,"863","833","487","230034","643261",499,"1"
-4.72100318659174,55.7068219552671,S01011302,"4797",Dalry East and Rural - 04,"856","856","522","229130","649287",356,"1"
