"lsoa11","rgn"
"E01009870","E12000005"
"E01009869","E12000005"
"E01009835","E12000005"
"E01009954","E12000005"
"E01009733","E12000005"
"E01009806","E12000005"
"E01009799","E12000005"
"E01009737","E12000005"
"E01009736","E12000005"
"E01009739","E12000005"
"E01009732","E12000005"
"E01009738","E12000005"
"E01009953","E12000005"
"E01010042","E12000005"
"E01009955","E12000005"
"E01009876","E12000005"
"E01010039","E12000005"
"E01009871","E12000005"
"E01009956","E12000005"
"E01009957","E12000005"
"E01009952","E12000005"
"E01009933","E12000005"
"E01009931","E12000005"
"E01009958","E12000005"
"E01009999","E12000005"
"E01009932","E12000005"
"E01009929","E12000005"
"E01010004","E12000005"
"E01009930","E12000005"
"E01009936","E12000005"
"E01010001","E12000005"
"E01010006","E12000005"
"E01010002","E12000005"
"E01010038","E12000005"
"E01010040","E12000005"
"E01010044","E12000005"
"E01010043","E12000005"
"E01009935","E12000005"
"E01010045","E12000005"
"E01010079","E12000005"
"E01010077","E12000005"
"E01010078","E12000005"
"E01010041","E12000005"
"E01010080","E12000005"
"E01010054","E12000005"
"E01010053","E12000005"
"E01010047","E12000005"
"E01010049","E12000005"
"E01010048","E12000005"
"E01010062","E12000005"
"E01010064","E12000005"
"E01010061","E12000005"
"E01010057","E12000005"
"E01010060","E12000005"
"E01009921","E12000005"
"E01010059","E12000005"
"E01009928","E12000005"
"E01010058","E12000005"
"E01009924","E12000005"
"E01009926","E12000005"
"E01009925","E12000005"
"E01009922","E12000005"
"E01009923","E12000005"
"E01009938","E12000005"
"E01009940","E12000005"
"E01010055","E12000005"
"E01009944","E12000005"
"E01010056","E12000005"
"E01009937","E12000005"
"E01009943","E12000005"
"E01010050","E12000005"
"E01010051","E12000005"
"E01010020","E12000005"
"E01010027","E12000005"
"E01010017","E12000005"
"E01010023","E12000005"
"E01010022","E12000005"
"E01010024","E12000005"
"E01010028","E12000005"
"E01010025","E12000005"
"E01010026","E12000005"
"E01009939","E12000005"
"E01010000","E12000005"
"E01010005","E12000005"
"E01009941","E12000005"
"E01010021","E12000005"
"E01010019","E12000005"
"E01010003","E12000005"
"E01009942","E12000005"
"E01010081","E12000005"
"E01009934","E12000005"
"E01010082","E12000005"
"E01010084","E12000005"
"E01010018","E12000005"
"E01010083","E12000005"
"E01010015","E12000005"
"E01010016","E12000005"
"E01010073","E12000005"
"E01009981","E12000005"
"E01010069","E12000005"
"E01009204","E12000005"
"E01009201","E12000005"
"E01033644","E12000005"
"E01009479","E12000005"
"E01032887","E12000005"
"E01009979","E12000005"
"E01009988","E12000005"
"E01010095","E12000005"
"E01010093","E12000005"
"E01010094","E12000005"
"E01010100","E12000005"
"E01009991","E12000005"
"E01010098","E12000005"
"E01010107","E12000005"
"E01010102","E12000005"
"E01010105","E12000005"
"E01010106","E12000005"
"E01010104","E12000005"
"E01009989","E12000005"
"E01009987","E12000005"
"E01009986","E12000005"
"E01010103","E12000005"
"E01009985","E12000005"
"E01009946","E12000005"
"E01009997","E12000005"
"E01009998","E12000005"
"E01009947","E12000005"
"E01009993","E12000005"
"E01009992","E12000005"
"E01010099","E12000005"
"E01009995","E12000005"
"E01009996","E12000005"
"E01009994","E12000005"
"E01009950","E12000005"
"E01032592","E12000005"
"E01009948","E12000005"
"E01009951","E12000005"
"E01009973","E12000005"
"E01009449","E12000005"
"E01009462","E12000005"
"E01009463","E12000005"
"E01009471","E12000005"
"E01009459","E12000005"
"E01009457","E12000005"
"E01009437","E12000005"
"E01009453","E12000005"
"E01009451","E12000005"
"E01009466","E12000005"
"E01009473","E12000005"
"E01009456","E12000005"
"E01009474","E12000005"
"E01009468","E12000005"
"E01009430","E12000005"
"E01009470","E12000005"
"E01009467","E12000005"
"E01009465","E12000005"
"E01009464","E12000005"
"E01010391","E12000005"
"E01010389","E12000005"
"E01010390","E12000005"
"E01010387","E12000005"
"E01010386","E12000005"
"E01010385","E12000005"
"E01009428","E12000005"
"E01009427","E12000005"
"E01009431","E12000005"
"E01009425","E12000005"
"E01029514","E12000005"
"E01029513","E12000005"
"E01010392","E12000005"
"E01010388","E12000005"
"E01010384","E12000005"
"E01009418","E12000005"
"E01009421","E12000005"
"E01009415","E12000005"
"E01009433","E12000005"
"E01009419","E12000005"
"E01009417","E12000005"
